ID	Category	Language	Genre	Genre2	Pubdate	Author_Last	Author_First	Work_Title	Translation	PubHouse	Prize	WinnerShortlist	Author_Gender	Author_Nationality
2010_Skibsrud,Johanna_Sentimentalists_PW.txt	FIC	English	PW		2010	Skibsrud	Johanna	Sentimentalists		GaspereauPress	ScotiabankGillerPrize	Winner	F	Canada
2010_Snyder,MariaV_InsideOut_SF.txt	FIC	English	SF	YA	2010	Snyder	MariaV	InsideOut					F	US
2010_Traister,Rebecca_BigGirlsDontCry_NF.txt	NON	English	MIX		2010	Traister	Rebecca	BigGirlsDontCry					F	
2010_Wagner,Hilary_NightshadeCity_MG.txt	FIC	English	MID		2010	Wagner	Hilary	NightShadeCity					F	
2010_Walton,Jo_AmongOthers_SF.txt	FIC	English	SF	YA	2010	Walton	Jo	AmongOthers					F	UK/Canada
2010_Warren,Dianne_CoolWater_PW.txt	FIC	English	PW		2010	Warren	Dianne	CoolWater		PhyllisBruceBooks	GovernorGeneralLiteraryAwardforfiction	Winner	F	US/Canada
2010_Webber,Heather_TrulyMadly_MY.txt	FIC	English	MY		2010	Webber	Heather	TrulyMadly					F	US
2010_Wilkerson,Isabel_TheWarmthofOtherSuns_HIST.txt	NON	English	HIST		2010	Wilkerson	Isabel	TheWarmthofOtherSuns					F	US
2010_WilliamsGarcia,Rita_OneCrazySummer_MG.txt	FIC	English	MID		2010	WilliamsGarcia	Rita	OneCrazySummer					F	
2010_Willis,Connie_AllClear_SF.txt	FIC	English	SF		2010	Willis	Connie	AllClear					F	US
2010_Willis,Connie_Blackout_SF.txt	FIC	English	SF		2010	Willis	Connie	Blackout					F	US
2010_Wilson,Norah_GuardingSuzannah_ROM.txt	FIC	English	ROM		2010	Wilson	Norah	GuardingSuzannah					F	Canada
2010_Winter,Kathleen_Annabel_PW.txt	FIC	English	PW		2010	Winter	Kathleen	Annabel		HouseofAnansiPress	GovernorGeneralLiteraryAwardforfiction	Shortlist	F	Canada
2010_WiseBauer,Susan_TheHistoryoftheMedievalWorld_HIST.txt	NON	English	HIST		2010	WiseBauer	Susan	TheHistoryoftheMedievalWorld					F	US
2010_Wood,Maryrose_TheMysteriousHowling_MG.txt	FIC	English	MID		2010	Maryose	Maryrose	TheMysteriousHowling					F	
2011_Auel,JeanM._TheLandofPaintedCaves_BS.txt	FIC	English	BS		2011	JeanM.	Auel	TheLandofPaintedCaves					F	US
2011_Bear,Elizabeth_Grail_SF.txt	FIC	English	SF		2011	Bear	Elizabeth	Grail					F	US
2011_Bick,IlsaJ_Ashes_SF.txt	FIC	English	SF	YA	2011	Bick	IlsaJ	Ashes					F	US
2011_Birch,Carol_JamrachsMenagerie_PW.txt	FIC	English	PW		2011	Birch	Carol	JamrachsMenagerie		Canongate	TheManBookerPrize	Shortlist	F	UK
2011_Birdsall,Jeanne_ThePenderwicksatPointMouette_MG.txt	FIC	English	MID		2011	Birdsall	Jeanne	ThePenderwicksAtPointMouette					F	
2011_Bolton,Sharon_NowYouSeeMe_MY.txt	FIC	English	MY		2011	Bolton	Sharon	NowYouSeeMe					F	UK
2011_Brookes,Lindsey_CapturingtheCowboysHeart_ROM.txt	FIC	English	ROM		2011	Brookes	Lindsey	CapturingtheCowboysHeart					F	US
2011_Brown,Sandra_Lethal_BS.txt	FIC	English	BS		2011	Sandra	Brown	Lethal					F	US
2011_Carew,Opal_InTooDeep_ROM.txt	FIC	English	ROM		2011	Carew	Opal	InTooDeep					F	Canada
2011_Chan,Darcie_TheMillRiverRecluse_BS.txt	FIC	English	BS		2011	Darcie	Chan	TheMillRiverRecluse					F	US
2011_Clark,MaryHiggins_IllWalkAlone_BS.txt	FIC	English	BS		2011	MaryHiggins	Clark	IllWalkAlone					F	US
2011_Coady,Lynn_Antagonist_PW.txt	FIC	English	PW		2011	Coady	Lynn	Antagonist		HouseofAnansiPress	ScotiabankGillerPrize	Shortlist	F	Canada
